"","Trace","Year","Month","MonthWord","Weekday_OffPeak","Weekday_OnPeak","Weekend_OffPeak","Weekend_OnPeak"
"1",1,2024,3,"March",32.9127513220576,50.3600634905164,38.4944444440613,52.9150000006604
"2",1,2024,4,"April",28.9993434354175,52.0894848480074,26.1811111116849,49.9520000000833
"3",1,2024,5,"May",17.2722705321955,46.0754782590104,27.6261111117553,50.6476666679712
"4",1,2024,6,"June",35.7044444421607,59.7799999956135,22.4600000015,53.7570000026427
"5",1,2024,7,"July",55.6076811601984,82.5698260844491,56.1011111095376,85.0816666653763
"6",1,2024,8,"August",64.5492929273062,88.3191515146359,75.0250617275814,123.672370371383
"7",1,2024,9,"September",53.2865079363797,89.3212063559855,40.9883950608398,69.2231851807771
"8",1,2024,10,"October",47.1179227039581,67.8706086940874,56.0022222210736,77.3096666694763
